event,white,black,result,whiteelo,blackelo,whiteratingdiff,blackratingdiff,opening
Rated Classical game,GregMillsUSA1,NoSoyunRobot,1-0,1733,1712,10.0,-10.0,Sicilian Defense
Rated Classical game,gorgo-51,ehmorris3,1-0,1680,1522,6.0,-7.0,King's Pawn Game
Rated Classical game,PeteManwiller,andreavcp,0-1,1892,1955,-8.0,40.0,Sicilian Defense
Rated Classical game,szaddamhusszein,jacob1991,0-1,1291,1268,-13.0,13.0,Queen's Pawn Game
Rated Classical game,webersalgado,Lasker_Emanuel1,0-1,1943,1979,-11.0,10.0,Sicilian Defense
Rated Classical game,claybo100,movv,1-0,1583,1384,6.0,-5.0,Philidor Defense
Rated Classical game,odelgadomx28,hamdi1970,0-1,1654,1698,-9.0,13.0,Dutch Defense
Rated Classical game,edrono,felipedias,1-0,1818,1789,10.0,-10.0,French Defense
Rated Classical game,WLira,gideoni,1-0,1847,1822,10.0,-11.0,Robatsch (Modern) Defense
Rated Classical game,ac80,DanLMorales,1-0,1243,1197,9.0,-10.0,King's Pawn Game
Rated Classical game,bobytal,rulezdraven,1-0,1703,1669,11.0,-10.0,Sicilian Defense
Rated Classical game,piratick007,alex333555,1-0,1352,1162,6.0,-6.0,Slav Defense
Rated Classical game,AirborneWarrior,friesenplatt,0-1,1908,1987,-8.0,8.0,King's Gambit
Rated Classical game,welcomx,IlPenseroso,0-1,1290,1193,-14.0,14.0,Horwitz Defense
Rated Classical game,lambertrinkens,Gogo69,0-1,1503,1429,-13.0,14.0,Scotch Game: Relfsson Gambit
Rated Classical game,Mth_Ural,Dreg96,1-0,1298,1287,11.0,-12.0,Queen's Gambit Refused
Rated Classical game,Knightmen,green71,0-1,1461,1545,-8.0,9.0,King's Pawn Game
Rated Classical game,Rosincore,fakir14,1-0,1083,1096,11.0,-11.0,Englund Gambit Complex: Mosquito Gambit
Rated Classical game,fmfmfm,ramzyss,1-0,1531,1518,11.0,-11.0,Petrov
Rated Classical game,ha1779,CaiqueCabral,0-1,1237,1210,-12.0,11.0,Scandinavian Defense
Rated Classical game,xadrezrpd,martinaugustobonn,0-1,1185,1187,-11.0,11.0,Scandinavian Defense
Rated Classical game,ahmadyehia,bdurden,1-0,1663,1540,7.0,-7.0,Queen's Pawn Game
Rated Classical game,babi_farshad,TiagoSeniw,0-1,1372,1422,-12.0,9.0,Ruy Lopez
Rated Classical game,derwos2,LouisDega,1-0,1525,1700,16.0,-17.0,Queen's Gambit Accepted
Rated Classical game,Vatista,malaika00,1-0,1348,1546,20.0,-16.0,"Italian Game: Two Knights Defense, de Riviere Gambit"
Rated Classical game,acuweb,josafa,1-0,1267,1117,7.0,-7.0,King's Pawn Game
Rated Classical game,ivano1472,Necko1985,0-1,1747,1714,-13.0,11.0,Ruy Lopez
Rated Classical game,herakiss8,spaceghosty,0-1,1752,1753,-13.0,11.0,French Defense
Rated Classical game,luchador10,ammarsouf,1-0,1495,1329,6.0,-12.0,French Defense
Rated Classical game,Alixx101,Googol100,0-1,1400,1438,-11.0,9.0,Queen's Pawn Game
Rated Classical game,ruffy97,w3odonnell,0-1,1497,1430,-13.0,13.0,Modern Defense
Rated Classical game,taraseg,Forman500,1-0,1743,1755,11.0,-29.0,Philidor Defense
Rated Classical game,etard,DiegoHDids,1-0,1615,1651,12.0,-12.0,Van't Kruijs Opening
Rated Classical game,muswin,berkutroma,0-1,1635,1464,-15.0,16.0,Ponziani Opening
Rated Classical game,CamiloG01,yodsol,1-0,1245,1165,19.0,-9.0,Scandinavian Defense
Rated Classical game,darkeetar,youssefmosslime,1-0,1779,1839,12.0,-12.0,Nimzo-Indian Defense
Rated Classical game,DassaevNava,BRG721,1-0,1808,1728,8.0,-8.0,Queen's Pawn Game
Rated Classical game,giodegirolamo,soprano42,1-0,1485,1402,9.0,-8.0,King's Knight Opening
Rated Classical game,lehlohonolo,Karisary,0-1,1339,1453,-8.0,17.0,Ruy Lopez
Rated Classical game,IsChessCoolYet,tzers,0-1,1327,1501,-7.0,11.0,French Defense
Rated Classical game,georgepapadubi,kawar,1-0,1614,1630,11.0,-11.0,Four Knights Game
Rated Classical game,Ulise,RachissteuR,1-0,1492,1447,9.0,-9.0,Queen's Pawn Game
Rated Classical game,DrCh3ss,captainhub,1-0,1533,1515,23.0,-10.0,Philidor Defense
Rated Classical game,unitedd123,adadchess,1-0,1665,1508,7.0,-6.0,King's Pawn Game
Rated Classical game,ErfriedFalk,Frank00Castle,1-0,1214,1354,16.0,-21.0,Giuoco Piano
Rated Classical game,abdo,magistral,0-1,1569,1755,-6.0,6.0,Philidor Defense
Rated Classical game,shagarah,laserany,1-0,1425,1434,11.0,-10.0,Queen's Pawn Game
Rated Classical game,bmjlima,Swede76,0-1,1411,1568,-6.0,7.0,Sicilian Defense
Rated Classical game,sortakeul,fatihckrr,0-1,1313,1171,-14.0,33.0,Philidor Defense
Rated Classical game,Getbur,Masterjuli,0-1,1218,1374,-6.0,6.0,King's Pawn Game
Rated Classical game,elpardo,VoIty,0-1,1872,1937,-8.0,9.0,Dutch Defense
Rated Classical game,chrisnewton8411,odqity,1-0,1304,1201,25.0,-8.0,Sicilian Defense
Rated Classical game,Splintz,romansad,0-1,1618,1695,-8.0,9.0,King's Pawn Game
Rated Classical game,robertinisimo,anon877,0-1,1562,1665,-8.0,10.0,Sicilian Defense
Rated Classical game,hades38,eneakee,0-1,1409,1433,-10.0,10.0,Sicilian Defense
Rated Classical game,DesdeLasCenizas,jacobdach9898,0-1,1682,1681,-11.0,16.0,English Opening
Rated Classical game,Bparagon2387,AMarcos,1-0,1489,1354,7.0,-7.0,Scandinavian Defense
Rated Classical game,berkanenderer,galatiaU2,0-1,1609,1582,-11.0,11.0,St. George Defense
Rated Classical game,ingempineda,lambertrinkens,1-0,1592,1490,9.0,-8.0,Philidor Defense
Rated Classical game,newbie619,acuweb,1-0,1203,1274,13.0,-13.0,Petrov
Rated Classical game,marclanc,shirotall34,1-0,1736,1856,14.0,-14.0,Budapest Defense
Rated Classical game,jmco1970,karolpozoga,1-0,1245,1299,12.0,-12.0,King's Pawn Game
Rated Classical game,crandell,Testicroute,1-0,1479,1298,6.0,-8.0,Sicilian Defense
Rated Classical game,LH-Maverick,DobbyFisher,0-1,1348,1370,-10.0,11.0,Sicilian Defense
Rated Classical game,karibou34,Bartilomeo1111,1-0,1715,1645,9.0,-8.0,Scotch Game
Rated Classical game,Kryptik,AndyCoop10,0-1,1380,1250,-15.0,19.0,Scandinavian Defense
Rated Classical game,chucho99,duscha,1-0,1554,1419,7.0,-11.0,Italian Game
Rated Classical game,hemton,Docrabax,0-1,1646,1631,-36.0,18.0,Bird Opening
Rated Classical game,Drex78,larreal,0-1,1943,1787,-15.0,15.0,"King's Gambit Accepted, Bishop's Gambit"
Rated Classical game,Kirito0beater,Shadow20330,1-0,1916,1851,10.0,-9.0,Ruy Lopez
Rated Classical game,cariasnova,Jorevf,0-1,1771,1781,-11.0,10.0,Philidor Defense
Rated Classical game,Tonying,damianex,0-1,1158,1243,-9.0,11.0,Ponziani Opening
Rated Classical game,Googol100,Alixx101,1-0,1447,1389,9.0,-10.0,Italian Game
Rated Classical game,Nackles,gulsin,0-1,1469,1537,-9.0,9.0,Scotch Game
Rated Classical game,Cecinestpasunepipe2,MichaelKnight,1-0,1794,1745,9.0,-9.0,"King's Gambit Accepted, King's Knight Gambit"
Rated Classical game,Green7ea,Pingu27,1-0,1217,1235,12.0,-24.0,Slav Defense
Rated Classical game,Gabrielfp135,beyourselff,1-0,1355,1336,11.0,-11.0,King's Pawn Game
Rated Classical game,evklid85,obitomkenobi,1-0,1412,1338,14.0,-9.0,Petrov
Rated Classical game,jamina80,sirose,1-0,1608,1630,19.0,-13.0,Sicilian Defense
Rated Classical game,usernamenottaken,i-dude,1-0,1686,1737,13.0,-12.0,Italian Game
Rated Classical game,matewe,burak33,0-1,1305,1304,-11.0,10.0,King's Pawn Game
Rated Classical game,sqalim76,hichamagad,0-1,1232,1140,-14.0,13.0,Goldsmith Defense
Rated Classical game,wwondra1,sergio240585,0-1,1323,1242,-28.0,13.0,King's Pawn Game
Rated Classical game,felipedias,edrono,1-0,1779,1828,13.0,-12.0,Caro-Kann Defense
Rated Classical game,Raider377,Natea,0-1,1449,1495,-10.0,12.0,"King's Gambit Accepted, Becker Defense"
Rated Classical game,Mahilo,FrankEB,0-1,1398,1406,-11.0,11.0,Center Game
Rated Classical game,rluben,afrikan,1-0,1769,1727,9.0,-9.0,Ponziani Opening
Rated Classical game,kristiansoares,alexkel,1-0,1711,1560,7.0,-6.0,Queen's Gambit Accepted
Rated Classical game,pykudo,boroman1,1-0,1611,1534,9.0,-10.0,Modern Defense
Rated Classical game,Vahan7,Selosatar,0-1,1757,1721,-12.0,12.0,"King's Gambit Accepted, Cunningham Defense"
Rated Classical game,balian013,fumier,1-0,1687,1612,8.0,-9.0,Italian Game
Rated Classical game,DroneStrike,Nomadology,0-1,1408,1337,-12.0,14.0,Robatsch (Modern) Defense
Rated Classical game,Dreg96,banco,1-0,1275,1287,13.0,-11.0,Horwitz Defense
Rated Classical game,Furon4,Khaldrogo92,0-1,1079,1099,-10.0,10.0,Van't Kruijs Opening
Rated Classical game,GingerPR,bobytal,1-0,1686,1714,12.0,-13.0,Bird Opening
Rated Classical game,hosain1349,rustysnake1,0-1,1677,1655,-11.0,11.0,Queen's Gambit Declined
Rated Classical game,Peytonsan,songxialone,1-0,1527,1585,12.0,-13.0,Sicilian Defense
Rated Classical game,juliusvr,luffyr2,0-1,1502,1481,-11.0,12.0,Ruy Lopez
Rated Classical game,Basil769,sonic2000,1-0,1346,1149,6.0,-23.0,Four Knights Game
Rated Classical game,Jony97,Danielperezs,0-1,1899,1931,-9.0,10.0,Queen's Pawn Game
Rated Classical game,YoMumNoob,gardiniya123,0-1,1235,1408,-6.0,8.0,King's Knight Opening
Rated Classical game,rsboos,edops101004,1-0,1854,1778,9.0,-8.0,Modern Defense
Rated Classical game,Journey_to_NM,trickyknights101,1-0,1921,1989,14.0,-14.0,Queen's Pawn Game
Rated Classical game,acab1980,ChessD41,0-1,1533,1527,-12.0,11.0,Italian Game
Rated Classical game,Dav322id,jmco1970,1-0,1289,1257,10.0,-9.0,Englund Gambit
Rated Classical game,SlametSuwandi,Riswandi,0-1,1769,1790,-28.0,9.0,Grob Opening: Grob Gambit
Rated Classical game,karabas5,Mind_Half_Full,0-1,1689,1528,-16.0,15.0,"King's Gambit Declined, Queen's Knight Defense"
Rated Classical game,Abu_99999,Carlo_Rossi,1-0,1931,1913,11.0,-10.0,Sicilian Defense
Rated Classical game,wolverine67,John80,0-1,1261,1198,-13.0,13.0,Queen's Pawn
Rated Classical game,Agolibre,aminsalah,0-1,1259,1373,-8.0,8.0,Queen's Pawn Game
Rated Classical game,jsarda,Oussamaouri,0-1,1635,1603,-13.0,16.0,Sicilian Defense
Rated Classical game,qzbjtzl,dratak,1-0,1738,1702,9.0,-10.0,Ruy Lopez
Rated Classical game,LeGourdin,bgg,1-0,1400,1285,9.0,-7.0,King's Gambit
Rated Classical game,ponzi,black_mover,0-1,1727,1636,-13.0,14.0,Philidor Defense
Rated Classical game,Edgaros,SmiIey,1-0,1213,1321,16.0,-14.0,Dutch Defense
Rated Classical game,bigpapaslice,maciej-2016,0-1,1615,1416,-17.0,16.0,Italian Game
Rated Classical game,Maqtader,shagarah,1-0,1407,1436,18.0,-11.0,"King's Gambit Accepted, King's Knight Gambit"
Rated Classical game,Marcel_Gerard,OldMen,1-0,1678,1481,50.0,-5.0,English Opening
Rated Classical game,edgararmando29,Pody,0-1,1694,1642,-14.0,14.0,French Defense
Rated Classical game,Gesucristo2,Alikdami,1-0,1391,1380,11.0,-20.0,Four Knights Game
Rated Classical game,jose1986,AlvaroMartinez,0-1,1284,1468,-14.0,7.0,Queen's Pawn Game
Rated Classical game,Scalser,Planter1144,0-1,1572,1721,-7.0,6.0,Philidor Defense
Rated Classical game,Natea,piterparker123,0-1,1507,1510,-13.0,10.0,Franco-Benoni Defense
Rated Classical game,emrkyl,natogomes,1-0,1649,1578,9.0,-9.0,Giuoco Piano
Rated Classical game,BadMan100,jinxsee,1-0,1810,1754,10.0,-10.0,Nimzo-Indian Defense
Rated Classical game,AliChoodaran,ArtykWolf,0-1,1584,1697,-8.0,8.0,Philidor Defense
Rated Classical game,Swede76,bmjlima,1-0,1575,1405,6.0,-6.0,Gunderam Defense
Rated Classical game,diego1234512345-,ALREMO,1-0,1975,1960,11.0,-10.0,Nimzowitsch Defense
Rated Classical game,sin29,soulaimane,0-1,1672,1731,-9.0,9.0,"Italian Game: Scotch Gambit, Janowski Defense"
Rated Classical game,DieMelBus,erovil1,0-1,1281,1427,-7.0,6.0,Scandinavian Defense
Rated Classical game,CABA551,Caithmmir,1-0,1483,1423,9.0,-9.0,Nimzowitsch Defense
Rated Classical game,zizo2000,catdoggolf,1-0,1631,1565,9.0,-10.0,Horwitz Defense
Rated Classical game,FrankEB,Mahilo,1-0,1417,1387,9.0,-10.0,Petrov
Rated Classical game,marinho_797,IKonstantin,1-0,1350,1378,12.0,-12.0,Philidor Defense: Morphy Gambit
Rated Classical game,Simon69,Nelumn_G,0-1,1857,1872,-10.0,10.0,"French Defense: Advance Variation, Milner-Barry Gambit"
Rated Classical game,aegir79,morPhliN,1-0,1437,1367,9.0,-9.0,Queen's Pawn Game
Rated Classical game,bgg,LeGourdin,1-0,1278,1409,14.0,-17.0,English Opening
Rated Classical game,jendress,Dabit,0-1,1516,1584,-9.0,9.0,King's Pawn Game
Rated Classical game,arttt,brksnut,1-0,1568,1552,10.0,-10.0,French Defense
Rated Classical game,Necko1985,ivano1472,0-1,1725,1734,-10.0,11.0,Italian Game
Rated Classical game,Asturxuan,Marter_Mars2,0-1,1200,1245,-12.0,9.0,Ruy Lopez
Rated Classical game,deathcrush999,guili30,0-1,1047,1050,-11.0,15.0,King's Pawn Game
Rated Classical game,yomomma,VIPBITE,0-1,1525,1341,-17.0,17.0,Petrov
Rated Classical game,anma990,luchador10,1-0,1343,1501,16.0,-15.0,French Defense
Rated Classical game,doosra,skots,0-1,1799,1784,-11.0,11.0,Philidor Defense
Rated Classical game,hahalol123,n00b1000,0-1,1123,1153,-10.0,10.0,Queen's Pawn Game
Rated Classical game,d8336,mikezman,0-1,1280,1335,-9.0,9.0,King's Pawn Game
Rated Classical game,maplesyrupbandito,nogueking,1-0,1651,1534,37.0,-7.0,Queen's Gambit Refused
Rated Classical game,Nota_Bene,tensplyr,0-1,1844,1793,-13.0,12.0,King's Pawn Game
Rated Classical game,GrahamParkerME,michal23,1-0,1656,1781,15.0,-15.0,Queen's Gambit Refused
Rated Classical game,fabifer,WSchiefele,0-1,1485,1565,-8.0,8.0,Franco-Benoni Defense
Rated Classical game,mateito35,Sensey123,1-0,1469,1541,13.0,-13.0,Philidor Defense
Rated Classical game,adinacknakalf,WLira,0-1,1770,1857,-8.0,8.0,Elephant Gambit
Rated Classical game,sercii,VSkyy_1550,1-0,1574,1726,23.0,-15.0,King's Pawn Game
Rated Classical game,carlokrinklebine,Elmer_Fudd,1-0,1197,1327,16.0,-15.0,Robatsch (Modern) Defense
Rated Classical game,simpleplayer70101,gorgo-51,1-0,1671,1691,40.0,-10.0,Bishop's Opening
Rated Classical game,broomhead,Armag_fire,1-0,1491,1493,10.0,-11.0,Four Knights Game
Rated Classical game,sheezy,TOBIM86,0-1,1310,1208,-13.0,14.0,Philidor Defense
Rated Classical game,Hopper17,DuvierCalle,0-1,1827,1799,-11.0,12.0,Sicilian Defense
Rated Classical game,alesap,DracoMalfang,1-0,1020,1046,35.0,-13.0,King's Knight Opening
Rated Classical game,Aleksandar1994,TurgayM,0-1,1628,1685,-9.0,9.0,Nimzo-Larsen Attack
Rated Classical game,santosh001,iman14416,1-0,1599,1668,12.0,-14.0,Sicilian Defense
Rated Classical game,Rack96,LeLucas,1-0,1225,1273,13.0,-21.0,Four Knights Game
Rated Classical game,nikolabogda,jmengele,0-1,1457,1324,-14.0,16.0,Owen Defense
Rated Classical game,magistral,abdo,0-1,1761,1563,-17.0,18.0,King's Pawn Game
Rated Classical game,mongolxvv,odelgadomx28,0-1,1516,1645,-7.0,7.0,Philidor Defense
Rated Classical game,saenz,MLATM,0-1,1642,1741,-8.0,49.0,Queen's Pawn Game
Rated Classical game,Cossimi1432,margita,1-0,1396,1410,12.0,-11.0,French Defense
Rated Classical game,Muhammadhaidar28,ac80,0-1,1242,1252,-40.0,9.0,French Defense
Rated Classical game,zezo500,The_Gambit,0-1,1529,1520,-12.0,11.0,Queen's Pawn Game
Rated Classical game,cedwards2783,Ddogp,0-1,1287,1182,-14.0,23.0,King's Pawn Game
Rated Classical game,capitaodmata,afking3,1-0,1477,1498,12.0,-11.0,Queen's Gambit Refused
Rated Classical game,tombino22,Fanou21,1-0,1692,1621,10.0,-8.0,Owen Defense
Rated Classical game,Petros-S,rafaelfalconi,0-1,1432,1485,-9.0,10.0,"Ruy Lopez: Classical Variation, Zukertort Gambit"
Rated Classical game,HuskerPower,karen97310,0-1,1411,1391,-11.0,12.0,Scandinavian Defense
Rated Classical game,NASRMMM,greedy_as_a_mf,1-0,1755,1817,13.0,-12.0,Four Knights Game
Rated Classical game,lsmkenpo,hazemss,0-1,1601,1600,-13.0,39.0,Danish Gambit
Rated Classical game,folletboig,MambaNegra37,0-1,1427,1506,-9.0,9.0,Queen's Pawn Game
Rated Classical game,trowdy,tmacksmyers,1-0,1315,1291,10.0,-10.0,French Defense
Rated Classical game,doskland,ahmadyehia,0-1,1593,1655,-9.0,9.0,Scandinavian Defense
Rated Classical game,Apollo11Fake,gaston1981,1-0,1673,1698,16.0,-11.0,Elephant Gambit
Rated Classical game,betomedin,HZfullmetal,1-0,1374,1355,9.0,-10.0,King's Pawn Game
Rated Classical game,VoIty,Theloq95,1-0,1946,1867,8.0,-8.0,Sicilian Defense
Rated Classical game,UT-Superman,ClaudetteF,1-0,1625,1465,7.0,-6.0,Owen Defense
Rated Classical game,Luchador1978,vtavkins,0-1,1464,1608,-7.0,8.0,Philidor Defense
Rated Classical game,FelipeGalvao,MONOMANE,1-0,1809,1653,7.0,-7.0,Italian Game
Rated Classical game,justapawnintheirgame,SangNamja7,0-1,1458,1562,-8.0,10.0,Sicilian Defense
Rated Classical game,Masterjuli,juanjose212,1-0,1380,1428,12.0,-13.0,Vienna Game
Rated Classical game,khalilhabita,T-Widya,1-0,1882,1958,14.0,-13.0,Caro-Kann Defense
Rated Classical game,mtalbi,pstroh,0-1,1725,1737,-10.0,10.0,Italian Game
Rated Classical game,parrn,Sakhalin,0-1,1807,1762,-16.0,12.0,English Opening
Rated Classical game,Nelumn_G,Simon69,1-0,1882,1847,10.0,-10.0,Sicilian Defense
Rated Classical game,tsogtb,Idusperpetuo,0-1,1338,1482,-7.0,6.0,Caro-Kann Defense
Rated Classical game,Trickstter,SantosTB,1-0,1766,1708,10.0,-9.0,Nimzo-Indian Defense
Rated Classical game,gabriels94,hades38,1-0,1443,1383,9.0,-8.0,French Defense
Rated Classical game,Gregg1990,teeloc,1-0,1762,1783,11.0,-12.0,Queen's Gambit Refused
Rated Classical game,Kingdakenho,YoMumNoob,0-1,1209,1229,-10.0,10.0,Pirc Defense
Rated Classical game,rustysnake1,Cris36,1-0,1666,1575,8.0,-18.0,French Defense
Rated Classical game,Just0ne,gwach,1-0,1967,1791,24.0,-6.0,Benoni Defense
Rated Classical game,Warroco,miladpes,0-1,1916,1922,-13.0,11.0,Petrov
Rated Classical game,Barro,markoc,0-1,1633,1592,-12.0,12.0,Rat Defense
Rated Classical game,ChristianTroy,AleAld,0-1,1595,1646,-10.0,9.0,English Opening
Rated Classical game,rogeriolimasilva,DassaevNava,1-0,1877,1816,10.0,-8.0,Scandinavian Defense
Rated Classical game,babyknoetje,fiu1977,1-0,1400,1409,11.0,-11.0,Owen Defense
Rated Classical game,PELD61,GreenGhost,0-1,1616,1634,-11.0,10.0,Benoni Defense: Benoni Gambit Accepted
Rated Classical game,KarKaroto,petermoca,0-1,1260,1198,-12.0,18.0,King's Pawn Game
Rated Classical game,Sakhalin,capaivan,0-1,1774,1772,-11.0,11.0,Dutch Defense
Rated Classical game,axpx,PacoMorillas,1-0,1600,1591,11.0,-11.0,Italian Game: Evans Gambit
Rated Classical game,andreatorre,PMorphy571,0-1,1706,1831,-7.0,45.0,Italian Game
Rated Classical game,lobnik,dubizep,0-1,1663,1614,-13.0,12.0,Bishop's Opening
Rated Classical game,hendra_harefa,Xpery,0-1,1605,1663,-9.0,10.0,English Opening
Rated Classical game,chessergio,Abkarino,1-0,1670,1538,7.0,-8.0,Scotch Game
Rated Classical game,a_torre1981,greeen_river_2020,1-0,1453,1359,8.0,-8.0,King's Pawn Game
Rated Classical game,fraki,UrsaA,0-1,1503,1655,-6.0,6.0,English Defense
Rated Classical game,Kraken72,zat-i-sahane,0-1,1917,1725,-18.0,17.0,Sicilian Defense
Rated Classical game,rachidbouy,thyb,0-1,1541,1731,-6.0,6.0,Vienna Game
Rated Classical game,teeloc,dtimas,1-0,1771,1617,7.0,-6.0,Indian Game
Rated Classical game,NewEdge,Marcosantoniofischer,1-0,1594,1590,10.0,-11.0,Philidor Defense
Rated Classical game,Tbbike,beniciochess,0-1,1453,1420,-11.0,12.0,French Defense
Rated Classical game,prasadnadendla,cracky2,1-0,1386,1376,10.0,-11.0,Queen's Pawn Game
Rated Classical game,ptokala,Flabbersham,0-1,1680,1726,-9.0,9.0,Queen's Gambit Declined
Rated Classical game,Hugolaruta,DAMZ,1-0,1534,1340,6.0,-6.0,Three Knights Opening
Rated Classical game,SPEEDPICKING,Brave_Knight37,1-0,1769,1762,11.0,-10.0,French Defense
Rated Classical game,agsastry,rainigari,1-0,1729,1558,6.0,-7.0,King's Pawn Game: Busch-Gass Gambit
Rated Classical game,GreenGhost,PELD61,1-0,1644,1605,9.0,-10.0,Queen's Pawn Game
Rated Classical game,BiraFilho,Aleksandar1994,1-0,1535,1619,13.0,-13.0,Owen Defense
Rated Classical game,makamundo,FelipeGalvao,1-0,1839,1816,15.0,-10.0,Sicilian Defense
Rated Classical game,madris,CABA551,1-0,1421,1492,12.0,-13.0,French Defense
Rated Classical game,Dukesam,UnKn0wn27,0-1,1248,1177,-37.0,16.0,King's Pawn Game
Rated Classical game,alancorintiano10,rsboos,1-0,1935,1863,8.0,-9.0,Caro-Kann Defense
Rated Classical game,darko_cancar,Dev1lgt,1-0,1437,1605,17.0,-17.0,"King's Gambit Accepted, King's Knight Gambit"
Rated Classical game,Stanislav123456,Hugolaruta,1-0,1576,1540,9.0,-10.0,Philidor Defense
Rated Classical game,muhyet,arschess,1-0,1677,1615,9.0,-8.0,Old Indian Defense
Rated Classical game,alexg123321,phearow,0-1,1255,1211,-11.0,44.0,Sicilian Defense
Rated Classical game,the-thing-122,edah,0-1,1906,1880,-11.0,11.0,French Defense
Rated Classical game,AlessandroFerrer,B-JAK,1-0,1371,1408,12.0,-12.0,Philidor Defense
Rated Classical game,edops101004,Emotion_Scanner,0-1,1770,1897,-7.0,7.0,Hungarian Opening
Rated Classical game,irvi_7667,Ghobara74,1-0,1426,1377,9.0,-28.0,Van't Kruijs Opening
Rated Classical game,LAYO1945,sean914ny,1-0,1617,1461,7.0,-6.0,Queen's Pawn Game
Rated Classical game,hero38,LuizBr,0-1,1455,1479,-10.0,10.0,Scotch Game: Alekhine Gambit
Rated Classical game,ebram,latulipe50,0-1,1906,1964,-9.0,9.0,Sicilian Defense
Rated Classical game,Little---A,starknight4770,1-0,1403,1354,9.0,-9.0,King's Pawn Game
Rated Classical game,AndyCoop10,marcoajedrez,1-0,1277,1119,8.0,-7.0,Philidor Defense
Rated Classical game,ChessAtNight,rachidbouy,0-1,1704,1535,-18.0,16.0,Russian Game: Urusov Gambit
Rated Classical game,vadim123,Kryptik,1-0,1578,1378,7.0,-5.0,Hungarian Opening
Rated Classical game,programmer_Ahmed,epagliu,0-1,1753,1727,-12.0,12.0,Nimzo-Larsen Attack
Rated Classical game,loba40,chimicus,0-1,1676,1803,-8.0,7.0,French Defense
Rated Classical game,Brodling,whiskeyinthejar,0-1,1107,1148,-10.0,10.0,Elephant Gambit
Rated Classical game,Baichor,GlaDiaDorBRKS,1-0,1491,1519,12.0,-11.0,Sicilian Defense
Rated Classical game,FreedomeBooks,Daleharper60,0-1,1291,1471,-7.0,6.0,King's Pawn Game
Rated Classical game,RGrimez,FrankNL,1-0,1404,1401,11.0,-13.0,Mieses Opening
Rated Classical game,erovil1,DieMelBus,1-0,1433,1274,7.0,-7.0,Philidor Defense
Rated Classical game,Taiga_A,alameldine,1-0,1482,1501,24.0,-12.0,Scandinavian Defense
Rated Classical game,Fredthewolf,captainachab,0-1,1972,1959,-11.0,12.0,"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation"
Rated Classical game,taichicate,archie1025,0-1,1671,1592,-13.0,14.0,Horwitz Defense
Rated Classical game,samrat3,apocalipse1990,1-0,1611,1649,12.0,-13.0,Indian Game
Rated Classical game,TheLoToSLev,doubleorbfail,1-0,1363,1329,10.0,-20.0,Horwitz Defense
Rated Classical game,Rickishidash,rubensin,1-0,1788,1781,30.0,-11.0,French Defense
Rated Classical game,NinjaWarriorPrincess,jerrybhat,1-0,1336,1302,15.0,-10.0,Queen's Gambit Accepted
Rated Classical game,edah,Willyboy,1-0,1891,1930,12.0,-12.0,English Defense
Rated Classical game,DeannaeD,Malilo,0-1,1204,1052,-15.0,16.0,Four Knights Game
Rated Classical game,iqp123,the-thing-122,1-0,1736,1895,16.0,-16.0,French Defense
Rated Classical game,jcdwalter,ghoti,0-1,1398,1382,-12.0,10.0,Zukertort Opening: Tennison Gambit
Rated Classical game,slickfists,Mohammadbangkit,0-1,1600,1591,-24.0,11.0,Philidor Defense
Rated Classical game,JezzHawk,Orangeisfine,1-0,1447,1433,10.0,-11.0,Ruy Lopez
Rated Classical game,jeshko010,khanin29111979,1-0,1612,1588,12.0,-10.0,Dutch Defense
Rated Classical game,meloman86,Bernardo2,1-0,1325,1276,11.0,-9.0,Scandinavian Defense
Rated Classical game,skots,Grubic1997,1-0,1795,1704,8.0,-8.0,Italian Game: Schilling-Kostic Gambit
Rated Classical game,mani201709,tito_mandarino,1-0,1161,1161,11.0,-17.0,Center Game
Rated Classical game,Steblax,murtaza5,0-1,1312,1309,-12.0,12.0,Van Geet Opening
Rated Classical game,Roby24,Zoso22,0-1,1370,1361,-11.0,11.0,Italian Game
Rated Classical game,lky12,profeblanco,0-1,1584,1603,-10.0,10.0,Caro-Kann Defense
Rated Classical game,rogoginsky,misticro,1-0,1403,1311,8.0,-7.0,Vienna Game
Rated Classical game,maybii,janderclandr,0-1,1281,1247,-12.0,11.0,King's Pawn Game
Rated Classical game,iruleall,Bearangel,0-1,1407,1411,-15.0,21.0,Center Game
Rated Classical game,POLMAN00,HellSank,1-0,1452,1464,12.0,-11.0,Sicilian Defense
Rated Classical game,Goatzzonaboat,Nessou,0-1,1163,1164,-15.0,11.0,King's Pawn Game
Rated Classical game,AtunsetAmuntef,mrwoon,1-0,1332,1393,12.0,-13.0,Van't Kruijs Opening
Rated Classical game,saycry,guillaume1234,1-0,1300,1193,8.0,-11.0,Queen's Gambit Accepted
Rated Classical game,motyapa,FtriplePrime,0-1,1751,1809,-9.0,8.0,English Opening
Rated Classical game,mattieuw2,klement123,1-0,1685,1741,13.0,-13.0,Modern Defense
Rated Classical game,sssert,QcLoCo,1-0,1563,1548,10.0,-11.0,Benoni Defense
Rated Classical game,derfausten,NoobHorishi,1-0,1197,1206,11.0,-11.0,King's Pawn Game
Rated Classical game,jmgamba,vineetg99,0-1,1767,1830,-9.0,9.0,Philidor Defense
