event,white,black,result,whiteelo,blackelo,whiteratingdiff,blackratingdiff,opening
Rated Classical game,Cazzandra86,Jurk10,1-0,1489,1292,5.0,-25.0,"Italian Game: Two Knights Defense, Ponziani-Steinitz Gambit"
Rated Classical game,briktop93,Ilnazgil,0-1,1391,1349,-11.0,35.0,Modern Defense
Rated Classical game,luizklahold,vladimir1949,1-0,1516,1584,12.0,-13.0,Sicilian Defense
Rated Classical game,toby33,LiCipher,0-1,1229,1361,-17.0,11.0,Scotch Game
Rated Classical game,FHPJA,Marik1914,1-0,1756,1735,10.0,-10.0,Ruy Lopez
Rated Classical game,Biru_12,tksmars,1-0,1452,1414,19.0,-9.0,King's Pawn Game
Rated Classical game,risking,Polina2001,0-1,1771,1816,-9.0,10.0,Giuoco Piano
Rated Classical game,Sebmaster,gabrulis,1-0,1287,1167,8.0,-7.0,French Defense
Rated Classical game,spidermonk13,brunomortari,0-1,1803,1746,-12.0,12.0,Sicilian Defense
Rated Classical game,pr_kamel,Arrchess,0-1,1522,1560,-9.0,11.0,Bishop's Opening
Rated Classical game,kaanhapoglu,irmakyesil,1-0,1385,1541,50.0,-48.0,King's Pawn Game
Rated Classical game,sveron23,mateo1996,0-1,1695,1722,-9.0,10.0,Bishop's Opening
Rated Classical game,Begbie,vijayd,1-0,1359,1217,33.0,-7.0,Italian Game
Rated Classical game,obrigachka,Nikita201630,0-1,1579,1511,-13.0,12.0,Italian Game
Rated Classical game,petra01,Abrown6969,1-0,1214,1113,8.0,-8.0,Scotch Game
Rated Classical game,Xerlix,raptor69,1-0,1599,1713,15.0,-14.0,Indian Game
Rated Classical game,Pedrosomuaythai,beresten,1-0,1671,1624,8.0,-38.0,Bishop's Opening
Rated Classical game,ArunB,sol95,0-1,1104,1197,-25.0,8.0,Richter-Veresov Attack
Rated Classical game,Pero2003,SeeEx,1-0,1854,1844,11.0,-10.0,Scotch Game
Rated Classical game,dr4ke,EeryBrute,0-1,1576,1540,-12.0,12.0,Sicilian Defense
Rated Classical game,ojukillo,Furiousbanana,0-1,1560,1421,-14.0,31.0,Italian Game
Rated Classical game,cancitak,calvinisthobbes,1-0,1531,1465,21.0,-12.0,Sicilian Defense
Rated Classical game,judgmentdragon,sidik97,1-0,1051,1071,24.0,-42.0,King's Knight Opening
Rated Classical game,aleksejdyundin,Chkiper,1-0,1766,1725,9.0,-10.0,Nimzowitsch Defense
Rated Classical game,Stasg0505,Roma77astra,1-0,1863,1839,10.0,-10.0,Ruy Lopez
Rated Classical game,alekiy-t,AlphaBravoCharlie,1-0,1584,1575,11.0,-31.0,"King's Gambit Accepted, Schallopp Defense"
Rated Classical game,jogador515,majidjoon,1-0,1901,1981,13.0,-13.0,Semi-Slav Defense
Rated Classical game,Ktdf77,ali1828,1-0,1262,1117,6.0,-23.0,"Englund Gambit Declined, Reversed French"
Rated Classical game,antreaslou,LastFermat,1-0,1504,1524,28.0,-11.0,Caro-Kann Defense
Rated Classical game,Vlados_Kadyrov,cer,1-0,1492,1445,10.0,-9.0,Ruy Lopez
Rated Classical game,Guztavo13,Lucas_jpt,1-0,1788,1874,13.0,-14.0,Queen's Gambit Declined
Rated Classical game,volskiy,Yigit2008,1-0,1227,1168,9.0,-16.0,Scotch Game
Rated Classical game,huido96,Limbi,1-0,1154,1038,7.0,-9.0,Van't Kruijs Opening
Rated Classical game,Nano789,donnie98,0-1,1774,1858,-12.0,10.0,French Defense
Rated Classical game,rtnewlon,BloggerZR27,0-1,1360,1339,-11.0,14.0,Queen's Pawn Game
Rated Classical game,YOLDAS1453,taoistwarrior,0-1,1351,1318,-12.0,12.0,French Defense
Rated Classical game,ural201,Nacim,0-1,1790,1632,-18.0,17.0,Zukertort Opening
